,Pos,Driver,Nationality,Car,PTS,
,1,MaxVerstappenVER,NED,Red Bull Racing Honda RBPT,194,
,2,CharlesLeclercLEC,MON,Ferrari,138,
,3,LandoNorrisNOR,GBR,McLaren Mercedes,131,
,4,CarlosSainzSAI,ESP,Ferrari,108,
,5,SergioPerezPER,MEX,Red Bull Racing Honda RBPT,107,
,6,OscarPiastriPIA,AUS,McLaren Mercedes,81,
,7,GeorgeRussellRUS,GBR,Mercedes,69,
,8,LewisHamiltonHAM,GBR,Mercedes,55,
,9,FernandoAlonsoALO,ESP,Aston Martin Aramco Mercedes,41,
,10,YukiTsunodaTSU,JPN,RB Honda RBPT,19,
,11,LanceStrollSTR,CAN,Aston Martin Aramco Mercedes,17,
,12,DanielRicciardoRIC,AUS,RB Honda RBPT,9,
,13,OliverBearmanBEA,GBR,Ferrari,6,
,14,NicoHulkenbergHUL,GER,Haas Ferrari,6,
,15,PierreGaslyGAS,FRA,Alpine Renault,3,
,16,AlexanderAlbonALB,THA,Williams Mercedes,2,
,17,EstebanOconOCO,FRA,Alpine Renault,2,
,18,KevinMagnussenMAG,DEN,Haas Ferrari,1,
,19,ZhouGuanyuZHO,CHN,Kick Sauber Ferrari,0,
,20,ValtteriBottasBOT,FIN,Kick Sauber Ferrari,0,
,21,LoganSargeantSAR,USA,Williams Mercedes,0,
